Ticker,EntryPrice,Quantity
AMD,112.23,48
NBIS,37.52,115
HIMS,15.01,615
CRWD,200,20
PLTR,9.77,100
TSLA,215.11,32
MELI,1803.88,6
LMND,30.41,164
GOOGL,152.34,20.5
NVDA,110.51,30
SOFI,15.22,390
AMZN,188.04,22.5
DDOG,110.15,28
TOST,24.87,220
AVGO,241.05,12
DLO,13.91,370
FSM,11.23,450
MSTR,292.61,24
LFMD,5.89,900
RBRK,49.33,70
TMDX,102.62,55
DUOL,184.81,34
SNOW,144.02,23
CELH,32.89,100
GTLB,41.05,120
NU,10.98,220
RZLV,3.73,1100
REAX,3.91,1250
AXON,465.34,6
GMAB,20.94,90
TTD,61.54,100
IOT,32.91,75
PATH,18.27,200
ENPH,104.42,52
ANET,127.75,13
ZETA,15.93,100
HUMA,3.92,1610
RDDT,132.06,10
ZS,152.79,10
BLITF,0.3439,3000
SBET,17.39,95
VIVO,2.59,200
RCAT,13.31,50
