Ticker,Threshold,Fired
AMD,PR_30,True
AMD,PR_60,True
AMD,PR_100,True
NBIS,DD_10,True
NBIS,PR_30,True
NBIS,PR_60,True
NBIS,PR_100,True
HIMS,DD_40,True
HIMS,PR_30,True
HIMS,PR_60,True
PLTR,DD_30,True
PLTR,PR_30,True
PLTR,PR_60,True
PLTR,PR_100,True
TSLA,DD_10,True
TSLA,PR_30,True
TSLA,PR_60,True
MELI,DD_30,True
LMND,DD_40,True
LMND,PR_30,True
LMND,PR_60,True
GOOGL,PR_30,True
GOOGL,PR_60,True
GOOGL,PR_100,True
NVDA,PR_30,True
NVDA,PR_60,True
SOFI,DD_40,True
AMZN,PR_30,True
DDOG,PR_30,True
DDOG,PR_60,True
TOST,DD_40,True
AVGO,PR_30,True
AVGO,PR_60,True
DLO,DD_10,True
FSM,DD_20,True
MSTR,DD_40,True
LFMD,DD_40,True
RBRK,DD_30,True
TMDX,DD_40,True
DUOL,DD_40,True
SNOW,DD_40,True
CELH,DD_40,True
GTLB,DD_40,True
NU,DD_20,True
RZLV,DD_40,True
REAX,DD_40,True
AXON,DD_40,True
GMAB,DD_20,True
TTD,DD_40,True
IOT,DD_30,True
PATH,DD_40,True
ENPH,DD_40,True
ANET,DD_20,True
ZETA,DD_30,True
HUMA,DD_40,True
RDDT,DD_40,True
ZS,DD_40,True
BLITF,DD_40,True
SBET,DD_40,True
VIVO,DD_40,True
RCAT,DD_40,True
